
2025-07-02 03:04:31 - Current Artist MP3 not found: 'Rav shabsi yudelevits', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\Dovid kushner\reb shabsai yudeluvitz M.mp3'
2025-07-02 11:38:37 - Current Artist MP3 not found: 'R Shushan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Ein hamelech nosha brov chayil.mp3'
2025-07-03 15:01:10 - Current Artist MP3 not found: 'R Shlomo Lubin', Source FILENAME: 'G:\Shiurim\R Shlomo Lubin\Hilchos Tefillin - R' Lubin.WMA'
2025-07-03 16:58:55 - Current Artist MP3 not found: 'Rav Mordechai Lebhar', Source FILENAME: 'G:\Shiurim\R Mordechai Lebhar\R' Mordechai Lebhar - Write your chidushim and keep them M.mp3'
2025-07-04 12:35:11 - Current Artist MP3 not found: 'R Yisroel Belsky', Source FILENAME: 'G:\Music\FROM NOSSON\Rav Yisroel Belsky\Shimru Shabsosai Composed by Rav Yisroel Belsky Z”TL M.mp3'
2025-07-04 18:18:22 - Current Artist MP3 not found: 'Rav Yosef C. Jacobovitz', Source FILENAME: 'G:\Shiurim\BMG\R' Yosef Chananya Jacobovits\R' Yosef C. Jacobovits Hilchos Shabbos Winter 5783\R' Yosef C. Jacobovits Hilchos Shabbos Winter 5783 #4 M1.mp3'
2025-07-06 10:04:42 - Current Artist MP3 not found: 'R shushan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Vinireihu bishuvo el naveihu.mp3'
2025-07-06 16:34:29 - Current Artist MP3 not found: 'Rav Michel Twerski', Source FILENAME: 'G:\Music\From Toshiba K\all Music h d\Music Alter\R. Michel Twerski\Philharmonic.Experience\07 - Pnu Eilai.mp3'
2025-07-06 18:15:29 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\20220221 Rabbi Y Sipper - Shoftim shevet Yehuda and Shimon H.mp3'
2025-07-07 17:04:14 - Current Artist MP3 not found: 'R ezra zafrani', Source FILENAME: 'G:\Shiurim\R Ezra Zafrani Shlita\29-Parashat Balak.wav'
2025-07-09 11:10:02 - Current Artist MP3 not found: 'Rav Eliyahu Mordechai H'Kohen Richter', Source FILENAME: 'G:\Shiurim\R Eliyahu Mordechai H'Kohen Richter Shlita\New Sivan 5785\R Eliyahu Mordechai H'Kohen Richter Shlita Halacha Mishnayos Kisubos Perek 7 (237).MP3'
2025-07-10 01:37:18 - Current Artist MP3 not found: 'Raya mihemna', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\New niggunim Teives 5783\Kol bo\06-אל אדון.mp3'
2025-07-10 12:47:48 - Current Artist MP3 not found: 'R aharon walkin ztl hilchot geniza', Source FILENAME: 'G:\Shiurim\R Aron Walkin ZTL\R aharon walkin ztl hilchot geniza.mp3'
2025-07-10 23:26:03 - Current Artist MP3 not found: 'Rav yerucham olshin', Source FILENAME: 'G:\Shiurim\BMG\R' Yeruchem Vaadim\R' Yeruchem Rambam Hilchos Talmid torah - winter 5777\rambam hilchos talmud torah.MP3'
2025-07-11 09:18:23 - Current Artist MP3 not found: 'Rav Elimelech Biderman1', Source FILENAME: 'G:\Shiurim\R Elimelech Biderman\R' Elimelech Biderman פרשת בלק  5784 M.mp3'
2025-07-11 12:25:38 - Current Artist MP3 not found: 'R Yisroel Belsky', Source FILENAME: 'G:\Music\FROM NOSSON\Rav Yisroel Belsky\Shimru Shabsosai Composed by Rav Yisroel Belsky Z”TL M.mp3'
